0,Alegría-Dulantzi,2965
1,Amurrio,10312
2,Aramaio,1380
3,Artziniega,1856
4,Armiñón,246
5,Arratzua-Ubarrundia,1046
6,Asparrena,1613
7,Ayala/Aiara,2939
8,Baños de Ebro/Mañueta,292
9,Barrundia,879
10,Berantevilla,468
11,Bernedo,544
12,Campezo/Kanpezu,1088
13,Zigoitia,1845
14,Kripan,178
15,Kuartango,409
16,Elburgo/Burgelu,641
17,Elciego,953
18,Elvillar/Bilar,320
19,Iruraiz-Gauna,550
20,Labastida/Bastida,1571
21,Lagrán,170
22,Laguardia,1491
23,Lanciego/Lantziego,689
24,Lapuebla de Labarca,856
25,Leza,210
26,Laudio/Llodio,17970
27,Arraia-Maeztu,823
28,Moreda de Álava/Moreda Araba,215
29,Navaridas,203
30,Okondo,1190
31,Oyón-Oion,3456
32,Peñacerrada-Urizaharra,302
33,Erriberagoitia/Ribera Alta,844
34,Ribera Baja/Erriberabeitia,1441
35,Añana,143
36,Agurain/Salvatierra,5147
37,Samaniego,290
38,San Millán/Donemiliaga,721
39,Urkabustaiz,1459
40,Valdegovía/Gaubea,1071
41,Harana/Valle de Arana,214
42,Villabuena de Álava/Eskuernaga,282
43,Legutio,2082
44,Vitoria-Gasteiz,257407
45,Yécora/Iekora,264
46,Zalduondo,194
47,Zambrana,438
48,Zuia,2391
49,Iruña Oka/Iruña de Oca,3610
50,Lantarón,926
51,Abengibre,760
52,Alatoz,505
53,Albacete,174073
54,Albatana,663
55,Alborea,691
56,Alcadozo,642
57,Alcalá del Júcar,1133
58,Alcaraz,1309
59,Almansa,24322
60,Alpera,2281
61,Ayna,607
62,Balazote,2385
63,Balsa de Ves,128
64,"Ballestero, El",411
65,Barrax,1884
66,Bienservida,551
67,Bogarra,751
68,Bonete,963
69,"Bonillo, El",2624
70,Carcelén,496
71,Casas de Juan Núñez,1369
72,Casas de Lázaro,313
73,Casas de Ves,555
74,Casas-Ibáñez,4563
75,Caudete,10293
76,Cenizate,1167
77,Corral-Rubio,301
78,Cotillas,127
79,Chinchilla de Monte-Aragón,4668
80,Elche de la Sierra,3588
81,Férez,608
82,Fuensanta,299
83,Fuente-Álamo,2420
84,Fuentealbilla,1807
85,"Gineta, La",2609
86,Golosalvo,84
87,Hellín,30923
88,"Herrera, La",315
89,Higueruela,1146
90,Hoya-Gonzalo,598
91,Jorquera,357
92,Letur,921
93,Lezuza,1318
94,Liétor,1065
95,Madrigueras,4648
96,Mahora,1485
97,Masegoso,115
98,Minaya,1406
99,Molinicos,790
100,Montalvos,81
101,Montealegre del Castillo,2045
102,Motilleja,679
103,Munera,3392
104,Navas de Jorquera,529
105,Nerpio,1150
106,Ontur,1889
107,Ossa de Montiel,2215
108,Paterna del Madera,339
109,Peñascosa,329
110,Peñas de San Pedro,1477
111,Pétrola,665
112,Povedilla,394
113,Pozohondo,1547
114,Pozo-Lorente,389
115,Pozuelo,467
116,"Recueja, La",221
117,Riópar,1352
118,Robledo,393
119,"Roda, La",15682
120,Salobre,445
121,San Pedro,1191
122,Socovos,1667
123,Tarazona de la Mancha,6129
124,Tobarra,7947
125,Valdeganga,1968
126,Vianos,320
127,Villa de Ves,55
128,Villalgordo del Júcar,1147
129,Villamalea,3997
130,Villapalacios,563
131,Villarrobledo,25208
132,Villatoya,114
133,Villavaliente,204
134,Villaverde de Guadalimar,312
135,Viveros,305
136,Yeste,2530
137,Pozo Cañada,2696
138,"Atzúbia, l'",597
139,Agost,5100
140,Agres,611
141,Aigües,1183
142,Albatera,13262
143,Alcalalí,1377
144,Alcosser,260
145,Alcoleja,190
146,Alcoi/Alcoy,60447
147,Alfafara,412
148,"Alfàs del Pi, l'",20425
149,Algorfa,3719
150,Algueña,1332
151,Alacant/Alicante,358608
152,Almoradí,22397
153,Almudaina,118
154,"Alqueria d'Asnar, l'",517
155,Altea,24349
156,Aspe,21900
157,Balones,132
158,Banyeres de Mariola,7290
159,Benasau,171
160,Beneixama,1694
161,Benejúzar,5719
162,Benferri,2054
163,Beniarbeig,2445
164,Beniardà,242
165,Beniarrés,1096
166,Benigembla,569
167,Benidoleig,1242
168,Benidorm,74573
169,Benifallim,116
170,Benifato,144
171,Benijófar,3521
172,Benilloba,749
173,Benillup,110
174,Benimantell,542
175,Benimarfull,446
176,Benimassot,96
177,Benimeli,455
178,Benissa,12395
179,"Poble Nou de Benitatxell, el/Benitachell",4959
180,Biar,3634
181,Bigastro,7416
182,Bolulla,480
183,Busot,3599
184,Calp,26637
185,Callosa d'en Sarrià,8069
186,Callosa de Segura,19584
187,"Campello, el",30759
188,"Camp de Mirra, el/Campo de Mirra",448
189,Cañada,1227
190,Castalla,11598
191,Castell de Castells,450
192,Catral,9493
193,Cocentaina,11387
194,Confrides,301
195,Cox,7608
196,Crevillent,30430
197,Quatretondeta,133
198,Daya Nueva,1855
199,Daya Vieja,660
200,Dénia,47166
201,Dolores,8085
202,Elx/Elche,242317
203,Elda,53925
204,Fageca,101
205,Famorca,44
206,Finestrat,9389
207,Formentera del Segura,4748
208,Gata de Gorgos,6694
209,Gaianes,562
210,Gorga,288
211,Granja de Rocamora,2723
212,"Castell de Guadalest, el",276
213,Guardamar del Segura,18063
214,"Fondó de les Neus, el/Hondón de las Nieves",2725
215,Hondón de los Frailes,1296
216,Ibi,24289
217,Jacarilla,2123
218,Xaló,3073
219,Xàbia/Jávea,30482
220,Xixona/Jijona,7295
221,"Orxa, l'/Lorcha",587
222,Llíber,992
223,Millena,252
224,Monforte del Cid,9017
225,Monòver/Monóvar,12758
226,Mutxamel,27817
227,Murla,585
228,Muro de Alcoy,9325
229,Novelda,26143
230,"Nucia, la",18997
231,Ondara,7507
232,Onil,7999
233,Orba,2413
234,Orxeta,912
235,Orihuela,83348
236,Parcent,1031
237,Pedreguer,8674
238,Pego,10670
239,Penàguila,296
240,Petrer,34089
241,"Pinós, el/Pinoso",8437
242,Planes,701
243,Polop,5717
244,Rafal,4867
245,"Ràfol d'Almúnia, el",719
246,Redován,8286
247,Relleu,1290
248,Rojales,16989
249,"Romana, la",2680
250,Sagra,442
251,Salinas,1780
252,Sanet y Negrals,736
253,San Fulgencio,9587
254,Sant Joan d'Alacant,25833
255,San Miguel de Salinas,7110
256,Santa Pola,38417
257,Sant Vicent del Raspeig/San Vicente del Raspeig,60415
258,Sax,10185
259,Sella,607
260,Senija,695
261,Tàrbena,637
262,Teulada,12857
263,Tibi,1822
264,Tollos,38
265,Tormos,334
266,"Torre de les Maçanes, la/Torremanzanas",746
267,Torrevieja,95760
268,"Vall d'Alcalà, la",175
269,"Vall d'Ebo, la",233
270,"Vall de Gallinera, la",588
271,"Vall de Laguar, la",910
272,"Verger, el",5338
273,"Vila Joiosa, la/Villajoyosa",36962
274,Villena,34373
